No,公開,Featured,タイトル,カテゴリー,ターゲット,要約,note URL,サムネイル,公開日,ステータス,Assets,備考
001,○,○,スポーツの価値をもっと社会に届けるために,事業づくり,スポーツ事業者,"スポーツには、人の可能性を広げる力がある
私は、スポーツには人の可能性を広げる力があると信じています。
勝つことだけではありません。",https://note.com/udio812/n/n5126fc849d74,20260628-sports-value-gift.webp,2026.06.28,公開済,Website / note,
002,○,,子どもの試合後、親は何を伝えるべきか？アドバイスの前に渡したい、ひとつの問い,保護者,保護者,"試合やレースが終わったあと。
親として、子どもにどんな言葉をかければいいのか、迷うことがあります。
「あの場面、もっとこうできたんじゃない？」
「次は、こうした方がいいかもしれない」",https://note.com/udio812/n/n4f9642668663,20260624-child-after-game-advice.webp,2026.06.24,公開済,Website / note,
003,○,○,スポーツを通じて、自らの可能性をひらくというこ,事業づくり,スポーツ事業者,"スポーツには、勝つことや上達すること以上の価値があるはず。
もちろん、勝つことに喜びを感じますし、目標を達成することにも、大きな意味があります。",https://note.com/udio812/n/n7ee52836998f,20260622-sports-possibility.webp,2026.06.22,公開済,Website / note,
004,○,,なぜ「子どものスポーツ×トレーニング」に向き合い始めたのか？,保護者,保護者,"「うちの子、一生懸命練習しているのに、なかなか上手くならない」
「怪我が多くて、この先どうしたらいいのだろうか・・・」
スポーツに取り組む子供の親として、そんなモヤモヤを抱えたことはないでしょうか。",https://note.com/udio812/n/ndabaab925cce,20260604-why-child-sports-training.webp,2026.06.04,公開済,Website / note,
005,○,,「考える子ども」はスポーツで育つ―勝ち負けより大切な“思考する力”を育てる指導とは？,保護者,保護者,"「言われたことはできるけれど、自分で考えて動けない」。
スポーツの現場で、そんな子どもの姿を目にすることはありませんか？
技術や体力を鍛える以前に、スポーツには“考える力”を育てる力があります。",https://note.com/udio812/n/n1fa5afdef477,20251017-think-child.webp,2025.10.17,公開済,Website / note,
006,○,,子どものマルチスポーツ化をどう考えるか,コーチ,指導者,"個人種目とチームスポーツを両立させるために、今わが家で模索していること
今、わが家では、冬のシーズンはスキーに取り組み、それ以外の時期は陸上競技を中心にしています。どちらも個人種目なので、目標を立てて、それを自分で追いかけていくプロセスがしっかりあります。",https://note.com/udio812/n/nbf7fd1323ffc,20250907-child-multi-sports.webp,2025.09.07,公開済,Website / note,
007,○,,アメリカの勝つためだけじゃない、育てるスポーツ教育へ,教育,保護者,"「オランダやスウェーデンのような教育先進国が、スポーツをどう扱っているのか」
そんな興味から始まったこのシリーズですが、今回は「スポーツ大国アメリカ」のスポーツ教育事情について紹介します。",https://note.com/udio812/n/n932c7e3b91e6,20250517-us-sports-education.webp,2025.05.17,公開済,Website / note,
008,○,,スウェーデンに学ぶ、子どもとスポーツと教育のちょうどいい関係,教育,保護者,"今日は小中高生アスリート教育の現場から見える社会のあり方の2回目！
「海外のアスリート教育は日本とどう違うんだろうか？」
そんな問いから始まり、まずはオランダの取り組みを調べました。
すると、教育とスポーツを両立させる「仕組み」が整備されていることが分かりました。",https://note.com/udio812/n/n94d38ec0cc8f,20250513-sweden-sports-education.webp,2025.05.13,公開済,Website / note,
009,○,○,「部活の地域移行」が意味するもの｜私たちが受け入れ、育てていくべき新しいスポーツ文化,事業づくり,スポーツ事業者,"公立中学校の部活動が、地域クラブへと移行し始めています。
「教員による無償の指導」という日本独自の仕組みから離れ、持続可能なスポーツの形へ。
ですが、これは単に制度を移すだけの話ではないと思ってます。",https://note.com/udio812/n/n8686993ce86b,20250524-bukatsu-transition.webp,2025.05.24,公開済,Website / note,
010,○,○,プロスポーツの知見を、地域の子どもたちへどう届けるか？専門知を、地域で実践できる仕組みに変えるために,事業づくり,スポーツ事業者,"最近、プロスポーツクラブと地域スポーツの関係について考える機会が増えています。
プロスポーツクラブやスポーツ医科学の専門家のもとには、選手の身体づくりや傷害予防、栄養、コンディショニングなどに関する知識と経験が蓄積されています。",https://note.com/udio812/n/nd114f0f15b6f,20260719-sports-knowledge.webp,2026.07.19,公開済,Website / note,
011,○,○,なぜ、スポーツには「編集」が必要なのか,事業づくり,スポーツ事業者,"高校時代、私は原因の分からない膝の痛みに悩まされていました。
練習をすると痛みが出る。治療に行き、少し良くなってまた練習をする。そして、また痛みが出る。
そんな日々を繰り返していました。",https://note.com/udio812/n/n100436cc58df,20260804-why-sports-edit.webp,2026.08.04,公開済,Website / note,
012,○,○,「専門知識を、分かりやすくする」だけでは足りない｜「実践知の編集」を考える,事業づくり,スポーツ事業者,スポーツの現場には、日々の実践の中で積み重ねられてきた知識や経験があります。,https://note.com/udio812/n/n80ea4ab96a69,20260810-specialized-editing.webp,2026.08.10,公開済,Website / note,
013,○,○,「伝えた」と「届いた」は同じではない｜実践知をどう届けるか,事業づくり,スポーツ事業者,"記事を書いた。SNSで発信した。資料をつくって説明した。そこまでやれば、「伝えた」と感じることがあります。
",https://note.com/udio812/n/n617c3c50ddbc,20260816-conveyed-received.webp,2026.08.16,公開済,Website / note,
